conversation,true_label,pred_label,error_pair
조용히 이혼하고 이 집만 넘겨. [SEP] 당신이 무슨 자격으로 ? [SEP] 무슨 자격이라니? 잊었나본데 당신 범죄자야 [SEP] 내가 무슨 짓을 했다고 범죄자야? [SEP] 너 저번에 유미 때렸잖아? [SEP] 당신이랑 바람난 여자.그럼 내가 가만히 둬야해? [SEP] 유미가 고소 안하겠다는 조건으로 이 집 내가 받기로 했으니까 조용히 넘기고 사라져. [SEP] 어쩜.바람은 당신이 피고 손해는 내가 봐야 해? 어?. 당신 정말 왜이래. [SEP] 나 니 돈보고 결혼한거야 너같은 애랑 같이 살아야 할 이유가 돈 말고 또 있었겠어? 빨리 도장찍고 이 집은 나한테 넘겨. [SEP] 싫어. 싫다고.!,갈취 대화,협박 대화,Extortion -> Threat
오빠 . 이러지마 [SEP] 왜 너도 이럴려고 따라온거 아니야 ? [SEP] 아니야 .나 무서워 [SEP] 뭘 무서워 너도 좋을거야 [SEP] 하.지마 [SEP] 아 진짜 전 남자친구한테는 다 줬으면서 왜이래 [SEP] 아 . [SEP] 순진한 척 좀 그만해라 역겹다 그냥 가만히 있어 내숭 좀 작작부려 [SEP] 하지마 부탁이야 . [SEP] 가만히 있어,기타 괴롭힘 대화,갈취 대화,Other_Bullying -> Extortion
보고서 언제까지쓰라고 했지? [SEP] 이번주 금요일까지 쓰라고 했습니다. [SEP] 지금 치매초기증상인건가? [SEP] 예?무슨말씀이신지. 분명히 지난주에 팀장님이 이번주 금요일까지 보고서 가져오라고 하셨는데요. [SEP] 옥상가서 기합좀 받아봐야 정신차리겠어? 내가언제그렇게 말했지? [SEP] 죄송합니다.제가 잘못들은게 맞는것같습니다. [SEP] 이자식이지금 나한테장난치나? 한입가지고두말하나? [SEP] 정말죄송합니다.제가실언했습니다. [SEP] 그혓바닥을 뽑아버려야 정신차리고일하겠어? 게으른놈이 어디서 자꾸 말바꾸고 핑계야? [SEP] 정말죄송합니다.다시는 핑계대지않겠습니다.,협박 대화,직장 내 괴롭힘 대화,Threat -> Workplace_Bullying
이번에 공사 하나 하는데 너네 애들좀 쓰자. [SEP] 이번에도 말입니까.? [SEP] 응. 쓰던 애들이 편하고 좋더라고 [SEP] 이번엔 안됩니다 형님. [SEP] 다른데 애들은 또 비싸. 그러면 돈을 좀 주던가 [SEP] 죄송합니다. 힘들것 같습니다. [SEP] 힘들어? 너 진짜 인생이 힘들어 지고 싶어? [SEP] 정말 왜 그러십니까 형님. [SEP] 니네 사장이랑 나랑 어떤 관계인지 알지? [SEP] 예 알겠습니다.,갈취 대화,직장 내 괴롭힘 대화,Extortion -> Workplace_Bullying
선생님 이번에 수학여행좀 저 대신 다녀와주세요 [SEP] 수학여행이요? 선생님 반이요? [SEP] 네 [SEP] 갑자기 왜요? [SEP] 아 제가 몸이 좀 안좋을것같아서 부탁좀 드릴게요 [SEP] 그래도 별 다른 이유도 없는데 제가 가는 것도 안좋아 보일 것같아요 [SEP] 선생님 곧 계약 끝나시지않으세요? 여기 이사장 우리 외삼촌인거 아시죠? [SEP] 아.네 [SEP] 이번 수학여행만 잘다녀오시면 제가 말씀좀 드려볼게요 외삼촌이 저 이뻐하시거든요 애들 데리고 수학여행 갈 생각하니까 벌써부터 두통이와서 잠이안와 피부가 푸석푸석해지더라구요 [SEP] 네.,직장 내 괴롭힘 대화,기타 괴롭힘 대화,Workplace_Bullying -> Other_Bullying
여보 식사하세요 [SEP] 어 지금 가. [SEP] 여보 오늘도 고생 많았어요. [SEP] 왜이래? 밥이나 먹어. [SEP] 당신 근데 견과류 알러지 있다고 했죠? [SEP] 어. 먹으면 목이 부어서 숨이 안쉬어져. 그래서 어릴 때 이 후로 한 번도 먹어본 적없어. 왜? [SEP] 아니에요. 나도 당신 만나고 견과류 먹어본 기억이 없어서. [SEP] 내가 안먹으니 너도 안먹어야지. 말이라고 해? [SEP] 알죠. 그래서 지금까지 안먹었잖아요 근데 여보 오늘 샐러드 드레싱 어때요 ? 땅콩 좀 갈아 넣어봤는데 [SEP] .윽.뭐야? 당신.일.일부러. 윽 . 살려줘.약.약!.켁. [SEP] 여보 그 동안 고마웠어요 그러게 내가 원하는 대로 해줬으면 좋았잖아.잘가요 여보,협박 대화,기타 괴롭힘 대화,Threat -> Other_Bullying
사람은 한 쪽 신장이 없어도 살 수 있다던데 [SEP] 갑자기 그 얘기는 왜 하는거야? [SEP] 아니 신장 하나 없어도 살 수 있다고 하면 굳이 두개가 필요한가 해서 [SEP] 지금 나한테 하는 말이야? [SEP] 어차피 사정이 이렇게 된 거 니가 하나 떼서 돈이라도 벌어오면 좋잖아? [SEP] 내가 왜 누구를 위해서 그래야 하는건데? [SEP] 누구를 위해서라고 한다면 음. 쉽게 설명해줘? 니 모든 정보다 우리가 갖고 있는거 알지? [SEP] 그게 뭐가 중요한데 [SEP] 그럼 이제 막 걷기 시작한 니 새끼가 어디에 있는지도 다 알고 있다는 거겠지? [SEP] 뭐? 우리 애한테는 손대지마. 제발 내가 어떻게 해서든 돈 구해올게. [SEP] 너무 오래 기다려줬어. 그러니까 그냥 쉽게 가자. 잠깐만 자고 일어나면 다 끝나 있을거야. [SEP] 이거 놔 싫어 지금 뭐하는 거야!,협박 대화,갈취 대화,Threat -> Extortion
미연씨 혹시 오늘 저녁에 뭐 먹어요? [SEP] 저 오늘 아직 저녁 생각은 안해봤어요! [SEP] 아. 혹시 그럼 오늘 저녁에 이거 먹을래요? [SEP] 네? 아 혹시 저 주시려고 만드신 건가요? [SEP] 아니 그건 아니고. 이게 내가 실수로 메뉴를 잘못 만들었는데 버리긴 아깝잖아 [SEP] 감사합니다! 그럼 제가 오늘 퇴근하면서 가져가겠습니다! [SEP] 이거 원래 3만원 짜린데 내가 실수해서 2만원에 줄게요. [SEP] 네?.아 혹시 제가 사서 가야하나요? [SEP] 아니면 이번 달 월급에서 빼고 그래도 싸구려 음식도 아닌데 그냥 주기는 아깝잖아? 알겠죠? 그렇게 알고 있을게요. [SEP] 아.저는 굳이.그렇게 까지.하,직장 내 괴롭힘 대화,갈취 대화,Workplace_Bullying -> Extortion
혹시 오늘 56교시에 자율 빠지고 수업 보충인가요? 저희반 애들이 그러길래. [SEP] 네 모르셨어요? 어떻게 애들보다 학교 공지가 더 느릴 수 있어요. [SEP] 저한테 공지가 안 와서 미쳐 확인 못 했네요. 이를 어쩌죠 교과서 안 가지고 온 애들이 많다고 하던데. 혹시 저희반 5교시 수학이던데 선생님. 오늘은 교과서 없이 수업 나가실 수 없을까요? [SEP] 그건 안되겠는데요. 이제 곧 시험이라 다른반이랑 똑같이 안 맞춰주면 애들사이에서 불만 나와요. 그니까 왜 담임이 되어서 학교 공지 확인을 안 하고 다니십니까? [SEP] 제가 확인 안 한게 아니고 공지 문자가 저한테만 안 온거 같아요. 누락된거 같아요. [SEP] 국어쌤 쌤이 학교 공지 담당이죠? 어제 수업 보충한다고 공지 보낸거 누락된 분도 계세요? [SEP] 없을걸요? 왜요 화학쌤이 그러셔요? 아니 제가 아무리 공지 누락 시켰다해도 알아서 확인 하셔야지. 그럼 뭐 애들은 따로 공지 받고 소식 아나요? [SEP] 저한테 공지가 안 온걸 제가 무슨 수로 알아봅니까. 학사일정에 자율이라 되어있으니 저는 학급활동 하려고 했죠. [SEP] 화학 쌤 반 애들 너무 불쌍하다. 시험기간 얼마 남았다고 에휴. 못난 담임 둬서 애들이 불쌍하네요. [SEP] 그러게 말이에요. 학교에 관심도 없고 공지도 안 해주고 애들 무슨 대학 수업 듣는것도 아니고 다 자기들 알아서 해야 하는건가봐요. 선생님 분발 좀 해요. 공지 안 온다고 손 빼놓고 있지 말고요. [SEP] 일부러 공지 저한테만 안 보내신거 아니죠.? 왠지 말씀하시는거 보니까 일부러 그러신거 같은데요. [SEP] 저봐 저봐 또 남한테 핑계를 찾네. 일부러 그랬다면 어쩔건데요. 그리고 담임이 되어서 내일 변동사항 없는지 다른 쌤들을 통해서라도 물어봐야 하는거 아닌가요?,직장 내 괴롭힘 대화,기타 괴롭힘 대화,Workplace_Bullying -> Other_Bullying
아저씨 담배 있어요? [SEP] 없는데. [SEP] 그럼 저기 편의점에서 하나만 사다 주세요. [SEP] 지금 삥 뜯는 건가? [SEP] 에이. 부탁하는 거죠. [SEP] 누가 부탁을 이렇게 무서운 표정으로 해. [SEP] 하. 이 아저씨 말귀를 못 알아듣네. 거지냐고 썅. [SEP] 아니. [SEP] 말보로 레드. [SEP] 어어.,갈취 대화,기타 괴롭힘 대화,Extortion -> Other_Bullying
내가 말한 금액대로 가져왔냐? [SEP] 미안해. 못가져왔어. [SEP] 뭐라고? 그걸 지금 말이라고 해? [SEP] 미안해. 그치만 너무 큰 돈이어서 용기가 안 났어. [SEP] 내가 그랬잖아 훔쳐서든 어떻게든 가져오라고. 안 가져오면 어떻게 한다 했지? [SEP] 진짜 미안해. 다음번엔. 한번 더 기회를 주면 꼭 구해올게.! [SEP] 그래. 근데 이대론 못 보내주지 내가 가져오라고 했던 금액을 못 가져왔으니 그 금액을 몸으로 갚아야지? [SEP] 진짜 오늘만큼은 봐줘. 내가 미안해 진심이야.! [SEP] 조용히 해. 퍽 [SEP] 어. 억! [SEP] 다시 한번 말한다. 내일까지 그 금액대로 안 가져오면 내가 너희가족 찾아가서 가져올 줄 알아라.,갈취 대화,협박 대화,Extortion -> Threat
김씨 저번에 빌려간 돈 이자가 오백만원이야 [SEP] 아니 원금이 50만원인데 어떻게 이자가 500일 수 있습니까? [SEP] 계약서에 적혀있잖아 당장 돈 갚아 [SEP] 그럴수 없습니다 이건 법적으로 따져도 이자가 너무 높습니다 [SEP] 김씨 죽고 싶어 ? 김씨 신장 하나 잃고 싶어? [SEP] 아니 무슨 말을 그렇게 합니까? [SEP] 돈 없으면 몸으로 갚아야 할 것 아냐 [SEP] 경찰에 신고하겠습니다 [SEP] 신고? 당신 몸으로 갚아 그럼 야! 김씨가 신장하나 떼 가란다 [SEP] 이거놔!,갈취 대화,협박 대화,Extortion -> Threat
너 이자식 빨리 돈 안내놔 [SEP] 기다려 보라니까 돈주는게 어디 그렇게 쉽나 [SEP] 너 녀석이 시간 끌어서 경찰 데려오려는것 다 알아 [SEP] 그래서 어쩔건데 [SEP] 죽여야지 빨리 돈 줘! [SEP] 나 죽이면 너 죄는 가중되고 돈도 없을 텐데 [SEP] 너 이 자식 [SEP] 고문 한다고 하더라도 난 돈을 안줄거야 [SEP] 뭐야! [SEP] 어처피 날 죽일건데 [SEP] 너 진짜 이세상에서 흔적을 아예 없애줘? 어디서 이 자식이,갈취 대화,협박 대화,Extortion -> Threat
아! 아줌마 운전을 이렇게 하면 어떻게 해요? [SEP] 네? 무슨 일이시죠? [SEP] 아줌마가 주차하면서 내 오토바이를 쳤잖아요. [SEP] 무슨 소리에요? 이렇게 주차 선 안에 차가 잘 들어가 있는데. [SEP] 여기 보세요. 제 오토바이가 이렇게 쓰러져 있잖아요. 아줌마 차가 내 오토바이를 쳤다니까! [SEP] 말도 안되는 소리를 이렇게! [SEP] 경찰을 불러도 되지만 여기가 또 호텔 주차장이잖아.아줌마를 위해서 내가 싸게 처리할게요. 한 50? 어때요? [SEP] 말도 안 되는 소리 하지 마세요. [SEP] 그럼 경찰도 부르고 보험회사도 부르고 아줌마 남편도 부를까? 다음주부터 사이좋게 남편하고 운전연수 하면 되겠네. [SEP] 이거 완전 사기꾼이네.,갈취 대화,협박 대화,Extortion -> Threat
움직이지마! [SEP] 누구세요? [SEP] 보면몰라? 여기 가방에 다 넣어 죽기 싫으면 [SEP] 이러지마세요 신고할거에요 [SEP] 신고하기전에 니가 먼저 죽을걸 [SEP] 제발요 다치기 싫어요 [SEP] 다치기 싫으면 여기에 금 다 털어! [SEP] 요새 상황이 여의치 않아 이거 털리면 우리식구 다 길바닥에 내앉아져요 [SEP] 나는 이미 앉았어 얼른 넣어 잔말말고 [SEP] 네.,갈취 대화,협박 대화,Extortion -> Threat
저기요 혹시 가지마켓 뽀리님 맞으신가요? [SEP] 아 네네 맞아요. 자전거 가지고 나오셨나요? [SEP] 여기요. 혹시 모를 상태대비해서 제가 잡고 있을테니까 자전거 상태 확인해주세요. [SEP] 넵. 아 역시 리미티드라 그런지 와 상태도 좋고 멋진데요? [SEP] 그쵸 사실 이 자전거 원래 제가 1900만원 주고 구매했는데 더 좋은 주인 찾아 주려고 1000만원에 내놓은겁니다. 뭐 자전거에 관심 낳으실테니 잘 아시죠? [SEP] 아 당연하죠. 저 어쩌피 이 자전거 너무 마음에 들어서 구매할테니까 타고 한 바퀴만 돌아볼게요. 흔들림 없는지 확인해봐야 해서 [SEP] 그럼 믿고 자전거에서 손 땔게요. 타다가 고장나셔도 사셔야 합니다. [SEP] 넵 잠시만요 달려볼게요 으짜 오 완전 부드러운데 잘 나가는데요? 무게도 적당하고 그럼. 안녕히계세요 [SEP] 네? 저기요! 돈 주고 가셔야죠! 도둑이야 도둑! 도둑질 하시면 안되죠! [SEP] 그니까 왜 저를 믿었어요?! 아무나 믿고 살지 마세요! 그럼 진짜 안녕히 계세요!,갈취 대화,기타 괴롭힘 대화,Extortion -> Other_Bullying
빌린 돈 당장 갚아 [SEP] 지금 당장은 돈이 없습니다 [SEP] 내일까지 계좌로 오백 보내. [SEP] 당장 내일까지요? 그 돈을 어디서 구해요 [SEP] 안 보내면 . [SEP] 시간을 조금만 더 주세요 제가 다음 주까지는 꼭 꼭 구해올게요 . [SEP] 안 보내면 . 너 콩팥 한 쪽은 무사하지 못할 줄 알아 [SEP] 제발 한 번만 봐주세요 [SEP] 죽기 싫으면 내일 저기 앞 뒷골목에서 보자. [SEP] 흐읍흐읍 넵,협박 대화,갈취 대화,Threat -> Extortion
너 내가 쳐다보지 말랬지 [SEP] 미안 근데 본거 아니야 [SEP] 지금 쳐다보고 있잖아 [SEP] 아니야 일부러 본게 아니야 [SEP] 본 거 맞네. 왜 거짓말해? 거짓말은 나쁜거지? [SEP] .응 [SEP] 그럼 맞아야겠지? [SEP] 미안해 잘못했어 [SEP] 뭐가 잘못했는데? [SEP] 반성문 쓸게,기타 괴롭힘 대화,협박 대화,Other_Bullying -> Threat
왜 남의것을 함부로 만져? [SEP] 뭐? 싸가지봐라 내맘인데? [SEP] 이리줘 [SEP] 싫어 이거 웃기다 애들 보여줄래 [SEP] 이리달라고 [SEP] 그래 가져가 [SEP] 내놔 [SEP] 근데 폰으로 이미 다 찍어놨는데 [SEP] 뭐? [SEP] 비밀 지켜주는대신 뭐해줄래?,협박 대화,갈취 대화,Threat -> Extortion
김사장님 별일 없으세요 ? [SEP] 자네가 여긴 어쩐 일인가. [SEP] 아니 말씀을 참 섭섭하게 하시네. 인사정도도 가볍게 못합니까 [SEP] 아니 자네가 그럴 의도로 올 사람이 아니라는 걸 알기 때문이지. [SEP] 크. 김사장님은 역시 눈치가 빨라서 참 좋단말이지. [SEP] 그래서 바라는게 뭔가 이번엔 [SEP] 이번에 사업 확장하신다는 소리를 들었는데 그 만큼 회사가 많이 큰데에는 제 몫도 있지 않겠습니까. [SEP] 자네 ? 자네가 뭘 도왔단 말인가. [SEP] 와 이렇게 나오시면 섭섭하죠. 그 동안 제가 애들 관리 다 해줘서 별 탈 없이 지금 자리 유지하시는거 아닙니까. [SEP] 자네가 자네 애들을 우리 회사에 풀어놓고 날 감시한 것 아닌가? [SEP] 그렇게 말씀하시면 서운합니다. 사장님 그럼 우리 애들이 도움이 안됐다는 건가요 허 참 [SEP] 그래. 그래서 뭘 원하는가. [SEP] 큰 거 두장만 주시면 됩니다. 그럼 이제 더 이상 사장님 사업에 저희 애들 개입 안시키고 얌전히 가겠습니다. [SEP] 큰 거 두장? 그게 갑자기 어떻게 생기나. 지금 시기가 어려운 거 자네도 알지 않나. [SEP] 아니 뭐 사업 확장은 종이 쪼가리로 한답니까? 다 있으신 거 압니다. 내일 다시 오겠습니다. 사장님. 후회할 짓 하지는 마시고요.,갈취 대화,직장 내 괴롭힘 대화,Extortion -> Workplace_Bullying
아 진짜 쟤 왜 이렇게 죽여버리고 싶지? [SEP] 그런 마음드는게 하루 이틀이냐 [SEP] 그만 하라고 제발 좀 [SEP] 니가 뭔데 이래라 저래라야 [SEP] 아 왜 치는데 [SEP] 더 때려줘? 주먹으로 아주 어루만져 줄까? [SEP] 아니 이게 진짜 [SEP] 나 저 새끼 한 손으로 이길 수 있는데 너 쟤랑 두 손으로 싸우면 내가 더 센 거다. 크크 [SEP] 걱정마 나 쟤 발로 상대해도 이겨,기타 괴롭힘 대화,협박 대화,Other_Bullying -> Threat
야 저기 도움반 애 온다 [SEP] 쟤 진짜 짜증나 저번에 계속 나쫓아다님 [SEP] 지능이 낮아서 그런가 어어없네 [SEP] 확 쥐어패버릴까보다 [SEP] 안녕 얘들아 [SEP] 꺼지라고 말걸지말라고 [SEP] 죽여버린다 꺼지라고 [SEP] 왜그래 미안해 [SEP] 내눈에띄면죽인다 앞으로 다른길로가 [SEP] 응,기타 괴롭힘 대화,협박 대화,Other_Bullying -> Threat
여보 오늘도 늦어요? [SEP] 여보라고 하지 말랬지. 징그럽게 .그 얼굴 좀 치워 구역질 나니까. [SEP] 얼굴에 화상이 심해서 성형으로도 안되는걸. [SEP] 얼굴이 그꼬라지면 돈이라도 많던가 [SEP] 친정에서 사업자금 많이 주셨잖아요. [SEP] 아 네네 생색은. 너같은 여자하고도 살아주는데 그럼 그 돈도 안주냐? [SEP] 친정집도 이제 어려워요. 집까지 팔았잖아요. [SEP] 놀고들있네.난 또 어마무시하게 큰 부자인줄알았지. 결혼할 때 [SEP] 당신 가져간 돈만해도 건물 몇채값이예요. [SEP] 이게 어디서 고개를 쳐들고 .징그러운 얼굴 안보이게 수건으로 좀 싸. 싸.웩 더러워.,기타 괴롭힘 대화,갈취 대화,Other_Bullying -> Extortion
구회장이랑은 어떻게 아는 사이야? [SEP] 까불지 마. [SEP] 아이고 무서워라. [SEP] 알고 자시고 할 사이 아니야. [SEP] 왜애 신수가 훤해지셨던데. 회장님이랑 친구 사이인 게 숨길 일이야? [SEP] 조용히 해. [SEP] 회장 친구한테 한 천정도 빌려볼까 하는데 [SEP] 지금 내 인간관계 발설하겠다고 협박하는 거야? [SEP] 협박이라니 그렇게 말하면 섭섭하지. [SEP] 친한 사이라고 해도 돈 오가는 사이 아니야. 빌려줄 돈도 없고. [SEP] 구회장도 그런 생각일지 한 번 볼까?,갈취 대화,협박 대화,Extortion -> Threat
아 나와봐 [SEP] 어 여기 내자린데. [SEP] 아 잠깐만 나오라고 [SEP] 응. [SEP] 너 옆에 계속 서있을거야? 신경쓰이니까 좀 어디 가있어 [SEP] 응. 근데 그 공책 내껀데. [SEP] 야 내가 가진댔냐? 잠깐 쓰는거야 [SEP] 아. 응. [SEP] 야 펜좀 [SEP] 여기. 돌려줘야해 [SEP] 어 알았어,기타 괴롭힘 대화,갈취 대화,Other_Bullying -> Extortion
저기요 혹시 날이 너무 뜨겁잖아요? 저희 회사에서 이 선크림 파는데 한 번 손등에 발라보실래요? [SEP] 아 진짜요? 안 그래도 선크림 필요해서 알아보던 중인데 한 번 발라 볼게요! [SEP] 여기 한 번 발라보세요. 진짜 성분도 좋고 다 좋아요. [SEP] 음. 성분이 좋다고 하셔서 좋은거 같기는 한데 제 피부에 맞지 않나봐요. 피부가 따끔거리네요. [SEP] 이번에 진짜 열심히 연구해서 만든건데 피부가 많이 예민하신가봐요. [SEP] 네 많이 예민해요. 그럼 많이 파시고 안녕히 계세요. [SEP] 아니 저기요 돈 안내요? [SEP] 네? 발라보는것도 돈 내야 하나요? [SEP] 그럼 이거 누구한테 팔아요? 당신이 바른거를? [SEP] 아니 먼저 발라 보시라고 하셨잖아요. 먼저 권유해놓고 사라고 강매하는거 갈취인거 몰라요? [SEP] 내가 안 사도 된다고 말 한 적 있어? 그것도 모르고 바른걸 누구 탓 하나? 빨리 사 당신이 바른거 당신이 사야지 [SEP] 진짜 어이가 없어서 다른 사람들한텐 이렇게 갈취하지마세요. 화딱지나네,갈취 대화,기타 괴롭힘 대화,Extortion -> Other_Bullying
야. 너는 생긴 게 왜 그러냐? [SEP] 갑자기 무슨 말이야. [SEP] 목소리도 별로고 잘하는 것도 없고 친구도 없고. [SEP] 나한테 왜 그러는데.? [SEP] 그냥 너의 모든 게 다 맘에 안드는데 어떡해 [SEP] 잘난 거 하나 없으면 그냥 조용히 구석에 박혀있어야지 나대긴 어딜 나대 [SEP] 그래 니 주제를 알고 나대. 니 주변에 얼마 안남은 친구들도 다 등돌리게 해줄게 [SEP] 내가 너네한테 뭘 잘못했는데.? [SEP] 이게 또 말대답이네? 야 걍 밟아 [SEP] 제발 이러지 말아줘 제발,기타 괴롭힘 대화,협박 대화,Other_Bullying -> Threat
